,x,wrev,wirr,Hp,epsr,Ms
0,148.221,58.747,48.461,17.57,0.50343,287.389063
1,157.054,57.683,46.958,17.147,0.50981,284.582142
2,165.888,56.643,45.524,16.719,0.51589,281.78096700000003
3,174.722,55.669,44.228,16.282,0.52141,278.985538
4,183.556,54.793,43.105,15.834,0.52619,276.198728
5,192.39,54.028,42.16,15.368,0.53009,273.420537
6,201.224,53.363,41.325,14.883,0.53312,270.653838
7,210.058,52.728,40.524,14.374,0.53563,267.89288500000004
8,218.892,52.062,39.704,13.85,0.53808,265.117567
9,227.726,51.318,38.829,13.319,0.54085,262.30490000000003
10,236.56,50.462,37.873,12.789,0.5443,259.434773
11,245.394,49.464,36.831,12.273,0.54883,256.478456
12,254.228,48.313,35.738,11.788,0.55485,253.389981
13,263.062,47.049,34.628,11.353,0.56233,250.12338000000003
14,271.895,45.719,33.533,10.966,0.57071,246.672907
15,280.729,44.366,32.48,10.61,0.57931,243.08740300000002
16,289.563,43.032,31.503,10.262,0.58737,239.438693
17,298.397,41.767,30.638,9.904,0.59396,235.827332
18,307.231,40.63,29.91,9.535,0.59815,232.319399
19,316.065,39.67,29.297,9.162,0.59998,228.86605300000002
20,324.899,38.867,28.768,8.79,0.60017,225.381104
21,333.733,38.175,28.281,8.425,0.5996,221.79272699999999
22,342.567,37.528,27.788,8.07,0.59933,218.01185900000002
23,351.401,36.845,27.232,7.733,0.60052,213.93219900000003
24,360.235,36.053,26.576,7.422,0.60323,209.52214400000003
25,369.069,35.148,25.849,7.14,0.60676,204.81617
26,377.903,34.17,25.09,6.882,0.61035,199.883229
27,386.736,33.156,24.339,6.636,0.61342,194.80376500000003
28,395.57,32.14,23.635,6.39,0.61573,189.649603
29,404.404,31.15,23.005,6.132,0.61748,184.443727
30,413.238,30.206,22.442,5.858,0.61886,179.191883
31,422.072,29.294,21.909,5.574,0.62002,173.894071
32,430.906,28.391,21.369,5.283,0.62111,168.547418
33,439.74,27.475,20.786,4.987,0.62237,163.13181300000002
34,448.574,26.523,20.12,4.691,0.62477,157.55244700000003
35,457.408,25.512,19.317,4.395,0.62956,151.66567
36,466.242,24.42,18.345,4.101,0.63709,145.34507000000002
37,475.076,23.249,17.221,3.805,0.64682,138.513076
38,483.91,22.013,15.985,3.505,0.65803,131.140958
39,492.744,20.728,14.689,3.198,0.67012,123.208605
40,501.577,19.413,13.39,2.88,0.68279,114.629827
41,510.411,18.089,12.126,2.549,0.69583,105.17191100000001
42,519.245,16.772,10.893,2.208,0.70914,94.254511
43,528.079,15.463,9.684,1.859,0.7226,80.72842700000001
44,536.913,14.159,8.489,1.503,0.73614,63.697283
45,545.747,12.859,7.304,1.144,,
